idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
31,sofa,6.61768764257431,1,1,0,0,0.0008836666443907293,0.002354115431509437,0.012591937384600176,0.0001607210727955083,0.00037655986651968613,256,256,649,631,0.003237782075900166
32,sofa,7.1379635483026505,1,1,0,0,0.00047353410771850237,0.0014026136088960222,0.006250997300877491,0.00015770858807652444,0.00023534844939493513,256,256,770,763,0.0018761477166145245
33,sofa,6.236179731786251,1,1,0,0,0.0011368223537852455,0.002323378073788749,0.017275043885739,0.000125899212495562,0.0004881504953250185,256,256,688,710,0.0034602004275739945
34,sofa,6.762568838894367,1,1,0,0,0.0011718454046695218,0.0015878224152762852,0.018499558696102873,0.00011651898728708837,0.0005023841505353058,256,256,773,788,0.002759667819945807
35,sofa,6.392991170287132,1,1,0,0,0.0013465425397153775,0.002658547522587503,0.020106061636374697,0.0002058958846744112,0.0007292579220902795,256,256,676,765,0.004005090062302881
36,sofa,8.272543549537659,1,1,0,0,0.001019584546078554,0.00202610267849412,0.014556979145782988,0.0003016140642787962,0.0002748909643684885,256,256,819,857,0.003045687224572674
37,sofa,7.346105761826038,1,1,0,0,0.0007550684413915419,0.0022359152956522286,0.010176626740617674,0.00011641837404548303,0.0002573722751059931,256,256,864,867,0.0029909837370437706
38,sofa,9.86817292869091,1,1,0,0,0.000307896404930804,0.0018242462238026724,0.00353043114646389,7.72091765543683e-05,0.0004048170835897011,256,256,771,741,0.0021321426287334764
39,sofa,10.860802605748177,1,1,0,0,0.0017885585270693352,0.0028611503258865467,0.028151816810295265,0.0001744931102027475,0.0005740716390667177,256,256,731,848,0.004649708852955882
40,sofa,7.975599728524685,1,1,0,0,0.0007640697905678253,0.002161343125986961,0.011495130037061946,0.0001293475743099218,0.0009193771501952336,256,256,814,784,0.002925412916554786
41,sofa,7.354709319770336,1,1,0,0,0.0013882855472540036,0.0024959611080004646,0.02173107397352232,0.00021671816967984425,0.00048240442357558354,256,256,678,757,0.003884246655254468
42,sofa,8.600015193223953,1,1,0,0,0.0010650729029630214,0.00169317023472897,0.016388771908393312,8.13239113948705e-05,0.00025610710852847326,256,256,788,809,0.002758243137691991
43,sofa,4.564788192510605,1,1,0,0,0.0005037371358775524,0.0017383288050898586,0.005291589221267161,0.0002130824520889217,0.00046986673834531045,256,256,451,480,0.002242065940967411
44,sofa,9.986304678022861,1,1,0,0,0.002137717310741687,0.003158423947458691,0.03321941913623511,0.00018938033085307004,0.0004156870163107033,256,256,672,827,0.0052961412582003785
45,sofa,7.480692118406296,1,1,0,0,0.00114307495303403,0.0017486019522517933,0.010364921473335578,0.0006258567156930094,0.000476743116032104,256,256,761,727,0.002891676905285823
46,sofa,7.509354501962662,1,1,0,0,0.0010091457081618062,0.0017854748972242508,0.015174138412316416,0.00013389637743002614,0.0004845853797063593,256,256,782,834,0.002794620605386057
47,sofa,8.393466472625732,1,1,0,0,0.0022521802301689402,0.003381048493754243,0.03514683122593968,0.00022058040936548482,0.0006795588589130334,256,256,737,817,0.005633228723923183
48,sofa,8.296681568026543,1,1,0,0,0.0022331231914253682,0.0033241462566149095,0.03526399817526253,0.00020436435556015148,0.0005906685009561185,256,256,738,821,0.005557269448040278
49,sofa,8.039303123950958,1,1,0,0,0.0014670367829164616,0.002179793263048396,0.023057746149488204,0.00020273812047692796,0.00023712467799117667,256,256,758,778,0.003646830045964858
50,sofa,10.002306662499905,1,1,0,0,0.0025732821838691626,0.0027846206822919575,0.04046731095244793,0.00044393119969554553,0.0006642352285651519,256,256,759,820,0.00535790286616112
